Study ID,Study Title,Species,Institute,Analysis,Release,Version,Samples,Download
ST001177,Analysis of short chain phosphatidylcholine (PC) on the Golgi membrane,Chinese Hamster,University of Kentucky,MS*,43600,1,1,Uploaded data (126.6M)*
ST001168,Alterations in fecal metabolic patterns are associated with atrial fibrillation,Homo sapiens,Beijing Chaoyang Hospital,MS*,43572,1,118,Uploaded data (4.3G)*
ST001164,Early Detection of Cystic Fibrosis Acute Pulmonary Exacerbations in Adult and Pediatric Patients by Exhaled Breath Condensate Metabolomics.,Homo sapiens,Georgia Institute of Technology,MS*,43600,1,64,Uploaded data (545.7K)*
ST001162,Evaluation of computational tools using serial mixtures of human plasma and vegetable juice (part - II),Plasma,Emory University,MS*,43600,1,26,Uploaded data (1.2G)*
ST001161,Evaluation of computational tools using serial mixtures of human plasma and vegetable juice (part-I),Plasma,Emory University,MS*,43600,1,26,Uploaded data (2.1G)*
ST001147,Global NHP serum metabolomics (part-IV),Macaca mulatta,Georgetown University,MS*,43600,1,100,Uploaded data (2.7M)*
ST001146,Global Nonhuman primate (NHP) urine metabolomics (part-I),Macaca mulatta,Georgetown University,MS*,43600,1,100,Uploaded data (7G)*
ST001127,Lipid profiling of caecal samples from GF mice colonized with B. thetaiotaomicron WT or the ΔSPT mutants (part III),Mus musculus,The Broad Institute,MS*,43530,1,14,Uploaded data (2G)*
ST001126,WT and ΔSPT cultures of B. thetaiotaomicron grown in Minimal Media (part II),Bacteroides tethaiotamicron,"The Broad Institute, Harvard School of Public Health, University of Groningen, Novartis Institute for Biomedical Research Inc",MS*,43530,1,6,Uploaded data (919.2M)*
ST001125,WT and ΔSPT cultures of B. thetaiotaomicron and B. ovatus grown BHI liquid media (part I),"Bacteroides tethaiotamicron, Bateroides ovatus","The Broad Institute, Harvard School of Public Health, University of Groningen, Novartis Institute for Biomedical Research Inc",MS*,43530,1,8,Uploaded data (1.1G)*
ST001117,A Metabolomic study of hibernating Syrian hamster brain: in search of neuroprotective agents,Mesocricetus Auratus,Universidad CEU San Pablo,MS*,43487,1,60,Uploaded data (8.5G)*
ST001104,Seryl-leucine core 1 O-glycosylated peptide (SLC1G) identification,Homo sapiens,Colorado State University,MS*,43487,1,18,Uploaded data (1.5G)*
ST001099,Untargeted LC-MS to compare blood collection tube and processing time – HILIC & C18,Homo sapiens,"University of Colorado, Denver",MS*,43600,1,102,Uploaded data (54.2G)*
ST001096,Arabidopsis thaliana 25 accessions,Arabidopsis thaliana,RIKEN,MS*,43445,1,300,Uploaded data (11.9G)*
ST001095,Data resource for fully 13C labelled and non-labelled plant tissues (part-I),Multiple Plant,RIKEN,MS*,43445,1,124,Uploaded data (4.7G)*
ST001085,Multi-platform metabolomics data from Ndufs4-/- skeletal muscles (part-IV),Mus musculus,North-West University,MS*,43487,1,40,Uploaded data (1.1G)*
ST001084,Multi-platform metabolomics data from Ndufs4-/- skeletal muscles (part -III),Mus musculus,North-West University,MS*,43487,1,40,Uploaded data (1.1G)*
ST001077,Multi-platform metabolomics data from Ndufs4-/- skeletal muscles (part-II),Mus musculus,North-West University,MS*,43487,1,40,Uploaded data (26.4M)*
ST001075,Integrated metabolome and transcriptome analyses provide novel insight into colon cancer modulation by the gut microbiota,Rattus norvegicus,University of Missouri-Columbia,MS*,43487,1,13,Uploaded data (4.8G)*
ST001068,The proteomic and metabolomic characterization of exercise-induced sweat (part -I),Homo sapiens,"UES Inc, Air Force Research Laboratory",MS*,43445,1,100,Uploaded data (489.1M)*
ST001037,High Resolution GC-MS and FID Metabolomics of Human Serum,Homo sapiens,Wake Forest Baptist Medical Center,MS*,43487,1,24,Uploaded data (11.2G)*
ST001034,PAMP-triggered changes in the exometabolome of Arabidopsis suspension cells,Arabidopsis thaliana,Oregon State University,MS*,43530,1,25,Uploaded data (259.6M)*
ST001027,Influence of Data-Processing Strategies on Normalized Lipid Levels using an Open-Source LC-HRMS/MS Lipidomics Workflow,Homo sapiens,University of Florida,MS*,43339,1,56,Uploaded data (5.6G)*
ST001000,Gut microbiome structure and metabolic activity in inflammatory bowel disease,Homo sapiens,The Broad Institute,MS*,43572,1,880,Uploaded data (105.3G)*
ST000992,Metabolomic Markers of Dietary Patterns in the Costa Rica Study,Homo sapiens,University of Michigan,MS*,43339,1,316,Uploaded data (11.2G)*
ST000991,Validating Quantitative Untargeted Lipidomics Across Nine Liquid Chromatography−High-Resolution Mass Spectrometry Platforms (part IX),Homo sapiens,"University of California, Davis",MS*,43298,1,153,Uploaded data (5.9G)*
ST000990,Validating Quantitative Untargeted Lipidomics Across Nine Liquid Chromatography−High-Resolution Mass Spectrometry Platforms (part VIII),Homo sapiens,"University of California, Davis",MS*,43298,1,153,Uploaded data (8.2G)*
ST000989,Validating Quantitative Untargeted Lipidomics Across Nine Liquid Chromatography−High-Resolution Mass Spectrometry Platforms (part VII),Homo sapiens,"University of California, Davis",MS*,43298,1,162,Uploaded data (8.9G)*
ST000988,Validating Quantitative Untargeted Lipidomics Across Nine Liquid Chromatography−High-Resolution Mass Spectrometry Platforms (part VI),Homo sapiens,"University of California, Davis",MS*,43298,1,153,Uploaded data (10.1G)*
ST000987,Validating Quantitative Untargeted Lipidomics Across Nine Liquid Chromatography−High-Resolution Mass Spectrometry Platforms (part V),Homo sapiens,"University of California, Davis",MS*,43298,1,153,Uploaded data (5.4G)*
ST000986,Validating Quantitative Untargeted Lipidomics Across Nine Liquid Chromatography−High-Resolution Mass Spectrometry Platforms (part IV),Homo sapiens,"University of California, Davis",MS*,43298,1,153,Uploaded data (11.8G)*
ST000985,Validating Quantitative Untargeted Lipidomics Across Nine Liquid Chromatography−High-Resolution Mass Spectrometry Platforms (part III),Homo sapiens,"University of California, Davis",MS*,43298,1,153,Uploaded data (137.5G)*
ST000984,Validating Quantitative Untargeted Lipidomics Across Nine Liquid Chromatography−High-Resolution Mass Spectrometry Platforms (part II),Homo sapiens,"University of California, Davis",MS*,43298,1,153,Uploaded data (83G)*
ST000983,Validating Quantitative Untargeted Lipidomics Across Nine Liquid Chromatography−High-Resolution Mass Spectrometry Platforms (Part I),Homo sapiens,"University of California, Davis",MS*,43298,1,154,Uploaded data (69.4G)*
ST000980,Metabolomic Analysis of plasma samples from Non-Allergic Subjects and Profilin-Allergic Patients overexposed to Grass Pollen,Homo sapiens,The Centre of Metabolomics and Bioanalysis,MS*,43298,1,75,Uploaded data (3.4G)*
ST000979,"Metabolomic profiles in healthy research cats receiving clindamycin with a synbiotic or a placebo: a randomized, controlled trial (Part I)",Felis catus,"University of California, Davis",MS*,43298,1,58,Uploaded data (237.6M)*
ST000973,Metabolome profiles in urogenital schistosomiasis and associated pathologies (part II),Homo sapiens,"University of Ibadan, Nigeria",MS*,43445,1,48,Uploaded data (6M)*
ST000969,Impact of thiamine metabolites and spent medium from Chlorella sorokiniana on metabolism in the green algae Auxenochlorella prototheciodes (part II),Auxenochlorella protothecoides,"University of California, Davis",MS*,43256,1,72,Uploaded data (707.5M)*
ST000968,Impact of thiamine metabolites and spent medium from Chlorella sorokiniana on metabolism in the green algae Auxenochlorella prototheciodes (part I),Auxenochlorella protothecoides,"University of California, Davis",MS*,43256,1,72,Uploaded data (683.2M)*
ST000967,Metabolomics Involved in Early-Life Single Pulse Antibiotic Exposures - Serum (part II),Mus musculus,University of North Carolina,MS*,43314,1,85,Uploaded data (1.7G)*
ST000957,Global metabolomics of human milk fractions,Homo sapiens,University of Florida,MS*,43600,1,24,Uploaded data (9.8G)*
ST000956,Determine metabolomics signatures important for the ability of Streptococus gallolyticus to promote colon cancer cell proliferation,Homo sapiens,University of Florida,MS*,43600,1,80,Uploaded data (20.4G)*
ST000955,Effects of ODC inhibition on T cell metabolism,Mus musculus,University of Florida,MS*,43600,1,96,Uploaded data (25.8G)*
ST000953,Identification of putative cryoprotectant metabolites in Aphaenogaster picea,Aphaenogaster picea,University of Florida,MS*,43600,1,24,Uploaded data (9G)*
ST000934,Metabolome profiles in urogenital schistosomiasis and associated pathologies,Homo sapiens,"University of Ibadan, Nigeria",MS*,43445,1,32,Uploaded data (6.4G)*
ST000923,Longitudinal Metabolomics of the Human Microbiome in Inflammatory Bowel Disease,Homo sapiens,The Broad Institute,MS*,43138,1,2184,Uploaded data (352.1G)*
ST000922,Crab Urine Study,Callinectus sapidus,Georgia Institute of Technology,MS*,43138,1,16,Uploaded data (2G)*
ST000919,Investigating Eicosanoids Implications on the Blood Pressure Response to Thiazide Diuretics,Homo sapiens,University of Florida,MS*,43487,1,280,Uploaded data (5.5G)*
ST000913,Insights into the pathogenesis of myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) through metabolomic profiling of cerebrospinal fluid (part IV),Homo sapiens,"University of California, Davis",MS*,43339,1,91,Uploaded data (4.5G)*
ST000910,Insights into the pathogenesis of myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) through metabolomic profiling of cerebrospinal fluid (part I),Homo sapiens,"University of California, Davis",MS*,43339,1,91,Uploaded data (451.9M)*
ST000898,TAp73 is a marker of glutamine addiction in medulloblastoma,Homo sapiens,Queen Mary University of London,MS*,43059,1,108,Uploaded data (2M)*
ST000886,Mechanism Behind Stay Green Trait in Bread Wheat (Triticum aestivum L.),Triticum aestivum L.,University of Florida,MS*,43383,1,96,Uploaded data (31G)*
ST000884,Evidence that COG0325 proteins are involved in PLP homeostasis,Escherichia coli,"University of California, Davis",MS*,43022,1,183,Uploaded data (1.2G)*
ST000881,Targeted metabolomics data of leprosy patients with type 1 reaction,Homo sapiens,Colorado State University,MS*,42949,1,16,Uploaded data (0.9G)*
ST000879,"Diet, genetics and gut microbiome drive dynamic changes in plasma metabolites [plasma]",Mus musculus,The Broad Institute,MS*,43129,1,188,Uploaded data (18.5G)*
ST000878,Fatty Acid Oxidation is Impaired in An Orthologous Mouse Model of Autosomal Dominant Polycystic Kidney Disease,Mus musculus,"University of California, Davis",MS*,43050,1,14,Uploaded data (97.1M)*
ST000877,"Micronutrient deficiencies, environmental exposures and severe malaria: Risk factors for adverse neurodevelopmental outcomes in Ugandan children",Homo sapiens,Emory University,MS*,43383,1,382,Uploaded data (211.2G)*
ST000871,"Untargeted metabolomic profile of reciprocal hemizygotes (oak/win hybrid, genes AUA1, ARG82) (part III)",Saccharomyces cerevisiae,"Washington University, St. Louis",MS*,43059,1,58,Uploaded data (507.5M)*
ST000870,Untargeted metabolomic profile of Saccharomyces cerevisiae (F2) hybrids (part II),Saccharomyces cerevisiae,"Washington University, St. Louis",MS*,43059,1,479,Uploaded data (508.9M)*
ST000868,Untargeted metabolomic profile of oak and wine yeast strains,Saccharomyces cerevisiae,"Washington University, St. Louis",MS*,43059,1,51,Uploaded data (507.4M)*
ST000847,Statin Immuno-Metabolomics in Asthma (part V),Rhesus Macaque,"University of California, Davis",MS*,43019,1,18,Uploaded data (197.1K)*
ST000845,Statin Immuno-Metabolomics in Asthma (part III),Rhesus Macaque,"University of California, Davis",MS*,43019,1,36,Uploaded data (198.2K)*
ST000842,Muscle and plasma before and after exercise,Homo sapiens,University of Michigan,MS*,43138,1,496,Uploaded data (22.7G)*
ST000841,Metabolomics of muscle in insulin sensitive and resistant obese indivduals.,Homo sapiens,University of Michigan,MS*,43138,1,196,Uploaded data (15.6G)*
ST000823,Metabolic profiling of cyst fluid from patients with Intraductal Pancreatic Mucinous Neoplasm (part II),Homo sapiens,University of Michigan,MS*,43138,1,40,Uploaded data (169.1K)*
ST000816,Lipidomics of Chronic Kidney Disease progression,Homo sapiens,University of Michigan,MS*,43138,1,200,Uploaded data (680.7K)*
ST000814,Hormones & Cognition/Aging/Placebo,Homo sapiens,University of Michigan,MS*,43019,1,56,Uploaded data (6.4G)*
ST000813,Insights into myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) phenotypes through comprehensive metabolomics (part IV),Homo sapiens,"University of California, Davis",MS*,43328,1,110,Uploaded data (501K)*
ST000807,Establishing the Validity of a Mid-Pregnancy Serum Archive for Novel Studies of Perinatal Outcomes (part V),Homo sapiens,"University of California, Davis",MS*,43019,1,60,Uploaded data (750.9K)*
ST000806,Establishing the Validity of a Mid-Pregnancy Serum Archive for Novel Studies of Perinatal Outcomes (part IV),Homo sapiens,"University of California, Davis",MS*,43019,1,132,Uploaded data (244K)*
ST000805,Establishing the Validity of a Mid-Pregnancy Serum Archive for Novel Studies of Perinatal Outcomes (part III),Homo sapiens,"University of California, Davis",MS*,43019,1,60,Uploaded data (2.4M)*
ST000801,Insights into myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) phenotypes through comprehensive metabolomics (part II),Homo sapiens,"University of California, Davis",MS*,43328,1,111,Uploaded data (1.5M)*
ST000800,Insights into myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) phenotypes through comprehensive metabolomics,Homo sapiens,"University of California, Davis",MS*,43328,1,214,Uploaded data (1.3M)*
ST000786,N-acetylisoputreanine-g-lactam Identification,Homo sapiens,Colorado State University,MS*,43019,1,5,Uploaded data (1.8G)*
ST000768,Metabolites of human neurons and stem cells (siNeuron metabolomics),Homo sapiens,University of Michigan,MS*,43075,1,8,Uploaded data (592.4M)*
ST000763,Untargeted metabolomics and lipidomics of scleroderma PAH discovery cohort,Homo sapiens,University of Michigan,MS*,43075,1,872,Uploaded data (46.8G)*
ST000759,Age and exercise effect on metabolomics in rats,Rattus norvegicus,University of Michigan,MS*,43075,1,184,Uploaded data (9.7G)*
ST000758,Effects of caloric restriction in HCR/LCR rats,Rattus norvegicus,University of Michigan,MS*,43075,1,188,Uploaded data (8.8G)*
ST000756,Metabolomics of cilia and modulation of renal microcirculation,Rattus norvegicus,University of Michigan,MS*,43075,1,20,Uploaded data (5.4G)*
ST000751,Mouse placentas-DEHP exposure,Mus musculus,University of Michigan,MS*,43075,1,28,Uploaded data (1.5G)*
ST000750,Rat amniotic fluid metabolomics (part II),Rattus norvegicus,University of Michigan,MS*,43075,1,20,Uploaded data (1G)*
